,id,nombre,magnitud,km,metros
0,3653390,(2013 VL),27.7,25.1501180466,7.6657557353
1,3719730,(2015 KB57),22.3,302.370924539,92.1626548503
2,3143095,(2002 VU114),22.8,240.181762721,73.2073989347
3,3374391,(2007 HW4),23.6,166.1651821003,50.6471458835
4,3799712,(2018 DT),27.1,33.1543125905,10.1054341542
5,3461231,(2009 KR4),25.0,87.2047272,26.58
6,3763274,(2016 VB1),28.57,16.8476770045,5.1351717866
7,3843898,(2019 SX),29.6,10.4843142043,3.1956188672
8,3532401,(2010 MS1),21.89,365.2077859922,111.3153296083
9,3654644,(2013 XS23),26.3,47.92256199,14.6067964271
10,3802033,(2018 FZ2),24.3,120.3760332259,36.6906137531
11,2454101,454101 (2013 BP73),20.45,708.8266342193,216.0503511964
12,3022970,(1999 SG10),20.76,614.5256683901,187.3074177315
13,3603631,(2012 JR4),24.0,138.2101784897,42.1264610556
14,3763475,(2016 VL3),24.42,113.9042759761,34.7180222065
15,3773989,(2017 HH),19.57,1063.0165543388,324.0074353942
16,3819563,(2018 HV1),23.1,209.1895703015,63.7609789875
17,3841615,(2019 HK3),24.7,100.1244233463,30.5179232594
18,3879533,(2019 UN4),22.8,240.181762721,73.2073989347
